編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLMKNHPFFAH98CA,坡道平面,0,,
RPXNMLMKNHPFFAH98CA,坡道平面,0,,
RPROMLMKNHPFFAH48CA,坡道平面,0,,
RPTSMLSKNHPFFAH07CA,坡道平面,1860000,24.60,
RPUPMLMKNHPFFAH88CA,坡道平面,1700000,33.51,
RPWPMLMKNHPFFAH09CA,坡道機械,0,,
RPTNMLOLNHPFFAH88CA,坡道平面,0,,
RPQPMLRLNHPFFAH09CA,坡道平面,0,,
RPORMLRLNHPFFAH09CA,坡道平面,0,26.83,
RPOSMLSLNHPFFAH66CA,坡道平面,0,,
RPQUMLSLNHPFFAH07CA,坡道平面,0,28.05,
RPUNMLTLNHPFFAH86CA,坡道平面,1850000,24.03,
RPQOMLTLNHPFFAH56CA,坡道平面,0,,
RPXNMLNKNHPFFBH56CA,坡道平面,0,33.37,
RPXNMLNKNHPFFBH56CA,升降機械,0,23.06,
RPXNMLNKNHPFFBH56CA,升降機械,0,23.06,
RPOOMLNKNHPFFBH38CA,坡道平面,0,33.37,
RPOOMLNKNHPFFBH38CA,升降機械,0,23.06,
RPOOMLNKNHPFFBH38CA,升降機械,0,23.06,
RPTQMLMLNHPFFBH09CA,坡道平面,1400000,34.19,
RPSRMLMLNHPFFBH09CA,坡道平面,1400000,34.19,
RPQQMLLJOHPFFBH58CA,坡道平面,0,34.72,
RPVNMLPJOHPFFBH56CA,坡道平面,0,,
RPROMLPJOHPFFBH88CA,坡道機械,0,,
RPSNMLNJOHPFFCH78CA,坡道平面,300000,36.24,
RPPOMLTKNHPFFDH66CA,坡道平面,0,33.11,
RPSQMLLKNHPFFEH09CA,坡道平面,0,,
RPUNMLPKNHPFFEH76CA,坡道平面,0,,
RPOPMLLLNHPFFEH68CA,坡道平面,0,33.01,
RPQPMLLLNHPFFEH88CA,坡道平面,0,16.57,
RPQNMLPLNHPFFEH09CA,坡道平面,0,33.01,
RPSNMLPLNHPFFEH66CA,坡道平面,0,,
RPQOMLKLNHPFFFH78CA,坡道平面,1200000,31.38,
RPPOMLKLNHPFFFH68CA,坡道平面,1300000,31.38,
RPQNMLRLNHPFFEH66CA,坡道平面,0,,
RPRNMLPKOHPFFEH56CA,坡道平面,0,,
RPROMLKLNHPFFFH88CA,坡道平面,1300000,31.38,
RPSOMLKLNHPFFFH98CA,坡道平面,1200000,31.38,
RPTOMLKLNHPFFFH09CA,坡道平面,1200000,31.38,
RPUOMLKLNHPFFFH56CA,坡道平面,1200000,31.38,
RPWOMLKLNHPFFFH76CA,坡道平面,1200000,31.38,
RPXOMLKLNHPFFFH86CA,坡道平面,1200000,31.38,
RPOPMLKLNHPFFFH68CA,坡道平面,1200000,31.38,
RPRPMLKLNHPFFFH98CA,坡道平面,1200000,31.38,
RPVPMLKLNHPFFFH76CA,坡道平面,1200000,31.38,
RPSPMLKLNHPFFFH09CA,坡道平面,1300000,31.38,
RPUPMLKLNHPFFFH66CA,坡道平面,1300000,31.38,
RPPQMLPKNHPFFFH66CA,坡道平面,1300000,31.38,
RPOQMLPKNHPFFFH56CA,坡道平面,1300000,31.38,
RPQQMLPKNHPFFFH76CA,坡道平面,1300000,31.38,
RPRQMLPKNHPFFFH86CA,坡道平面,1300000,31.38,
RPSQMLPKNHPFFFH96CA,坡道平面,1300000,31.38,
RPTQMLPKNHPFFFH07CA,坡道平面,1300000,31.38,
RPVOMLPKNHPFFFH07CA,坡道平面,1300000,31.38,
RPUOMLPKNHPFFFH96CA,坡道平面,1300000,31.38,
RPQNMLOKNHPFFFH98CA,坡道平面,0,,
RPQNMLOKNHPFFFH98CA,坡道平面,0,,
RPUNMLKLNHPFFFH09CA,坡道平面,1250000,30.25,
RPXOMLPKNHPFFFH27CA,坡道平面,1200000,31.38,
RPOPMLPKNHPFFFH09CA,坡道平面,1200000,31.38,
RPVNMLKLNHPFFFH56CA,坡道平面,1200000,31.38,
RPXNMLKLNHPFFFH76CA,坡道平面,1300000,31.38,
RPWNMLKLNHPFFFH66CA,坡道平面,1300000,31.38,
RPWTMLMLNHPFFFH47CA,坡道機械,0,,
RPRPMLNJOHPFFFH56CA,坡道平面,1200000,40.56,
RPRNMLMKNHPFFGH98CA,坡道平面,0,,
RPPNMLOKNHPFFGH98CA,坡道平面,0,,
RPQUMLMLNHPFFFH96CA,坡道平面,0,36.13,
RPQUMLMLNHPFFFH96CA,坡道平面,0,36.13,
RPPNMLQLNHPFFFH56CA,坡道平面,0,33.33,
RPPNMLQLNHPFFFH56CA,坡道平面,0,33.33,
RPSPMLNJOHPFFFH66CA,坡道平面,1300000,40.56,
RPPNMLKLNHPFFGH68CA,坡道平面,0,41.85,
RPSOMLMLNHPFFGH66CA,坡道平面,1500000,46.11,
RPVOMLTLNHPFFGH67CA,坡道平面,0,,
RPWNMLNKNHPFFHH07CA,坡道平面,0,,
RPUNMLOKNHPFFHH96CA,坡道機械,1150000,26.26,
RPUNMLOKNHPFFHH96CA,坡道機械,1000000,26.26,
RPQNMLNKNHPFFHH09CA,坡道平面,1600000,,
RPVNMLOKNHPFFHH07CA,坡道平面,1800000,31.73,
RPPOMLOKNHPFFHH56CA,坡道平面,1230000,26.11,
RPSPMLPLNHPFFAH56DA,升降機械,800000,,
RPWNMLOKNHPFFGH17DA,坡道平面,0,41.85,
